original_title,release_year,popularity,director,keywords,runtime,vote_average,Profit
Legend,2015,2.28135,Brian Helgeland,biography|based on true story|gangster|twins,131,6.7,17972994.0
Beyond the Reach,2015,2.2720439999999997,Jean-Baptiste LÃ©onetti,desert|hunting,95,5.5,-14579806.09414688
Pan,2015,2.234573,Joe Wright,flying|magic|fairy tale|peter pan|mermaid,111,5.9,-21611680.0
Mythica: The Darkspore,2015,2.165433,Anne K. Black,sword|magic|sorcery|necromancer|woman director,108,5.1,25197618.699245356
Me and Earl and the Dying Girl,2015,2.141506,Alfonso Gomez-Rejon,tattoo|high school|leukemia|friends|parody,105,7.7,25197618.699245356
The Peanuts Movie,2015,2.140199,Steve Martino,based on comic strip|family|3d|charlie brown|snoopy,88,6.4,147233113.0
Concussion,2015,2.121884,Peter Landesman,american football|biography|professional sports|sports injury|nfl,123,6.9,13623572.0
The Night Before,2015,2.096273,Jonathan Levine,male friendship|new york city|drug|christmas eve|childhood friend,100,6.1,27395996.0
Knock Knock,2015,2.0809349999999998,Eli Roth,female nudity|sex|disc jockey|infidelity|rain,99,4.8,2714043.0
The Longest Ride,2015,2.070708,"George Tillman, Jr.",based on novel|art student|cowboys|injury|bull riding,128,7.3,29013281.0
Hotel Transylvania 2,2015,2.060162,Genndy Tartakovsky,transylvania|hotel|witch|technology|magic,89,6.8,386183544.0
Love the Coopers,2015,2.055572,Jessie Nelson,big family|family relationships|family|woman director|christmas,107,5.3,7000000.0
The Walk,2015,2.049886,Robert Zemeckis,1970s|skyscraper|based on true story|tightrope|planning,123,6.8,26181942.0
Tracers,2015,2.0266509999999998,Daniel Benmayor,chinese mafia|parkour|new york city|loan shark|young adult,94,5.9,-9136685.0
Vacation,2015,2.000338,John Francis Daley|Jonathan M. Goldstein,route 66|grand canyon|cow|vacation|road trip,99,6.1,73384188.0
Poltergeist,2015,1.984529,Gil Kenan,poltergeist|haunted house|remake|duringcreditsstinger,93,5.0,60437994.0
Maggie,2015,1.9800389999999999,Henry Hobson,post-apocalyptic|dystopia|zombies,95,5.1,-3812888.0
Equals,2015,1.9597650000000002,Drake Doremus,illustrator|sex scene|near future|infected|emotions,101,5.6,-12625701.09414688
Child 44,2015,1.95632,Daniel Espinosa,murder|serial killer|military|chili|soviet union,137,5.9,-46675670.0
The Gift,2015,1.926739,Joel Edgerton,detective|stalker|gift|bully|psychological thriller,108,6.6,53978653.0
Daddy's Home,2015,1.904898,Sean Anders,daddys home,96,5.7,190360392.0
Mythica: The Necromancer,2015,1.876037,A. Todd Smith,sword|magic|sorcery|necromancer,0,5.4,25197618.699245356
Vice,2015,1.872696,Brian A Miller,artificial intelligence|android|self-awareness|mercenary|virtual reality,96,4.1,29823319.793392234
The Little Prince,2015,1.865007,Mark Osborne,philosophy|utopia|airplane|adventure|dystopia,92,7.5,33571250.0
Alvin and the Chipmunks: The Road Chip,2015,1.841779,Walt Becker,chipmunk|cgi|talking animal|aftercreditsstinger|duringcreditsstinger,92,5.7,219129851.90585312
The Dressmaker,2015,1.82313,Jocelyn Moorhouse,based on novel|australia|dressmaker|hometown|woman director,118,6.9,6410000.0
The DUFF,2015,1.758618,Ari Sandel,high school|teenager|popularity|high school senior|teen comedy,100,6.8,35028634.0
Sinister 2,2015,1.742286,Ciaran Foy,haunted house|sequel|twins,97,5.5,42882018.0
Paul Blart: Mall Cop 2,2015,1.73518,Andy Fickman,shopping mall|las vegas nevada|security guard,94,5.3,77597242.0
Frozen Fever,2015,1.7247119999999898,Chris Buck|Jennifer Lee,sister sister relationship|birthday|song|birthday party|flu,8,7.0,25197618.699245356
High-Rise,2015,1.661789,Ben Wheatley,skyscraper|high rise,119,5.4,25197618.699245356
The Boy Next Door,2015,1.6510779999999898,Rob Cohen,male nudity|female nudity|sex|adultery|infidelity,91,3.9,46163103.0
Spooks: The Greater Good,2015,1.646664,Bharat Nalluri,corruption|terrorist|explosive|police|kidnapping,104,5.6,25197618.699245356
Entourage,2015,1.532997,Doug Ellin,friendship|hollywood|movie star|entourage,104,6.2,19263404.0
The Wedding Ringer,2015,1.5100959999999999,Jeremy Garelick,male friendship|impersonator|wedding|lying|best man,101,6.5,56799880.0
Scouts Guide to the Zombie Apocalypse,2015,1.499614,Christopher B. Landon,female nudity|shotgun|nudity|strip club|party,93,6.2,-139234.0
The Visit,2015,1.495112,M. Night Shyamalan,rap|pennsylvania|brother sister relationship|farm|grandparents,94,5.9,93450062.0
Black Mass,2015,1.4832459999999899,Scott Cooper,boston|based on true story|organized crime,122,6.3,46775678.0
Heist,2015,1.449072,Scott Mann,casino|robbery|bus hijacking|heist,93,5.4,-8849864.0
Krampus,2015,1.448002,Michael Dougherty,fire|winter|santa claus|snow storm|christmas tree,98,5.9,46548707.0
Dark Places,2015,1.443406,Gilles Paquet-Brenner,prison|based on novel|brother sister relationship|satanism|witness,113,5.7,-19791412.0
No Escape,2015,1.41239,John Erick Dowdle,coup|american|family|foreign,103,6.7,49418872.0
Dope,2015,1.40805,Rick Famuyiwa,california|hip-hop|harvard university|geek|coming of age,103,7.3,17286781.0
American Ultra,2015,1.3882510000000001,Nima Nourizadeh,memory loss|stoner|black ops,96,5.9,208085.0
Woman in Gold,2015,1.388032,Simon Curtis,nazis|art|stolen painting,120,7.3,50619773.0
The Scorpion King: The Lost Throne,2015,1.38032,Mike Elliott,magic|fantasy|steampunk|dragon,105,4.5,25197618.699245356
Sisters,2015,1.3766049999999999,Jason Moore,sister sister relationship|childhood home,118,5.9,75011053.0
Project Almanac,2015,1.360926,Dean Israelite,time travel|time machine|teenager|found footage,106,6.3,20248241.0
Absolutely Anything,2015,1.360827,Terry Jones,london|alien|teacher|talking animal|super powers,85,5.8,-9436055.09414688
The Transporter Refueled,2015,1.3558219999999999,Camille Delamarre,transporter|sequel|suspense|car|bank heist,96,5.3,47629670.0
Crimson Peak,2015,1.345982,Guillermo del Toro,haunted house|mining|murder|spitting blood|gothic,119,6.4,19679822.0
Everly,2015,1.342839,Joe Lynch,assassin|mob boss,90,5.1,25197618.699245356
Magic Mike XXL,2015,1.338481,Gregory Jacobs,male friendship|strip club|road trip|strip tease|strip,115,6.3,107613057.0
Paranormal Activity: The Ghost Dimension,2015,1.338322,Gregory Plotkin,terror|supernatural|sequel|demon|found footage,88,5.0,68099553.0
Slow West,2015,1.329702,John Maclean,fire|bounty hunter|shotgun|horseback riding|horse,84,6.6,-14396607.09414688
Trumbo,2015,1.316239,Jay Roach,screenwriter|communist|biography|film history|hollywood,124,7.2,-6764339.0
Secret in Their Eyes,2015,1.315266,Billy Ray,fbi|missing child,111,6.2,12689727.0
Mistress America,2015,1.29314,Noah Baumbach,comedy,84,6.4,-12125270.09414688
The SpongeBob Movie: Sponge Out of Water,2015,1.291013,Paul Tibbitt,ocean|sea|star|water|comedy,93,5.7,237594032.0
True Story,2015,1.284541,Rupert Goold,,100,6.0,-9906006.09414688
Max,2015,1.278928,Boaz Yakin,afghanistan|war|based on true story|rescue|betrayal,111,7.0,23967255.0
Shaun the Sheep Movie,2015,1.25358,Mark Burton|Richard Starzack,countryside|sheep|based on tv series|memory loss|hospital,85,6.9,45074298.90585312
Louder Than Bombs,2015,1.251681,Joachim Trier,usa|brother brother relationship|father-son relationship|car accident|death of mother,109,6.3,28823319.793392234
A Perfect Day,2015,1.2452239999999999,Fernando LeÃ³n de Aranoa,road movie,106,6.3,-12923268.09414688
The Gunman,2015,1.225325,Pierre Morel,assassin|hitman,115,5.6,-29335251.0
Unfriended,2015,1.191138,Levan Gabriadze,computer|bullying|revenge|internet|violence,82,5.6,61882090.0
Hot Pursuit,2015,1.178831,Anne Fletcher,texas|prisoner|cop|drug cartel|on the run,87,5.5,16680201.0
Insidious: Chapter 3,2015,1.1647239999999999,Leigh Whannell,sequel,97,6.3,94303851.0
Z for Zachariah,2015,1.161812,Craig Zobel,love triangle|based on novel|jealousy|radiation|tractor,97,5.5,-14507218.09414688
Dragonheart 3: The Sorcerer's Curse,2015,1.144808,Colin Teague,magic|wall|druid|knight|dragon,97,4.5,25197618.699245356
The Lady in the Van,2015,1.142518,Nicholas Hytner,based on novel|biography|based on true story,104,5.9,35387687.0
Victor Frankenstein,2015,1.138395,Paul McGuigan,london|frankenstein|human experiment|reanimated corpse|frankenstein's monster,109,5.5,-5772702.0
Brothers of the Wind,2015,1.128081,Gerado Olivares|Otmar Penker,eagle|learning to fly|eagle's feather|father son conflict|bird's nest,98,7.5,25197618.699245356
Anomalisa,2015,1.1252389999999999,Duke Johnson|Charlie Kaufman,sex|depression|existentialism,90,6.7,-4240714.0
Bone Tomahawk,2015,1.0733489999999999,S. Craig Zahler,poison|prisoner|murder|rifle|gore,132,6.3,38023319.79339223
Regression,2015,1.065888,Alejandro AmenÃ¡bar,investigation|memory loss,106,5.2,3045399.9058531206
Pawn Sacrifice,2015,1.0630549999999999,Edward Zwick,chess|cold war|russia|biography|victory,114,6.6,25197618.699245356
The Man Who Knew Infinity,2015,1.046518,Matt Brown,england|indian|mathematician|biography|cambridge,108,7.1,-3153247.0941468794
Momentum,2015,1.041922,Stephen S. Campanelli,,96,5.8,19823319.793392234
The Diary of a Teenage Girl,2015,1.03839,Marielle Heller,1970s|teenage girl|older man younger woman relationship|based on graphic novel|teenage sexuality,102,6.8,-522998.0
Pay the Ghost,2015,1.036825,Uli Edel,halloween|police|revenge|burned alive|children,94,5.3,25197618.699245356
The Voices,2015,1.02762,Marjane Satrapi,violence|psychiatrist|dark|evil|woman director,101,6.0,25197618.699245356
Last Knights,2015,1.021441,Kazuaki Kiriya,loyalty|emperor|castle|sword fight|revenge,115,6.3,-10982110.09414688
Il racconto dei racconti,2015,1.0084739999999999,Matteo Garrone,,125,5.7,27823319.793392234
Irrational Man,2015,1.0070540000000001,Woody Allen,,95,6.1,16391084.0
Queen of the Desert,2015,0.973316,Werner Herzog,middle east|persia|adventurer,128,6.0,24823319.793392234
Ricki and the Flash,2015,0.956096,Jonathan Demme,homophobia|rock star|aging|family relationships|divorce,100,5.5,23325328.0
Miss You Already,2015,0.9536469999999999,Catherine Hardwicke,female friendship|music|friendship|love|cancer,112,7.2,25197618.699245356
Kung Fury,2015,0.953046,David Sandberg,video game|martial arts|kung fu|hacker|nazis,31,7.7,39193300.79339223
The Perfect Guy,2015,0.950793,David M. Rosenthal,,100,5.6,48273173.0
A Bigger Splash,2015,0.9384319999999999,Luca Guadagnino,italy|fish|rock star|vacation|rock concert,120,5.8,-12689177.09414688
While We're Young,2015,0.9376200000000001,Noah Baumbach,marriage|middle age,97,5.9,-2412515.0
Get Hard,2015,0.9273389999999999,Etan Cohen,prison|training|framed|embezzlement,100,5.9,66511453.0
Kidnapping Mr. Heineken,2015,0.91704,Daniel Alfredson,,95,5.8,25197618.699245356
The Ridiculous 6,2015,0.913085,Frank Coraci,wild west,119,4.8,-20176680.206607766
Kill Me Three Times,2015,0.90686,Kriv Stenders,assassin|dark comedy,90,5.1,25197618.699245356
The 33,2015,0.9060360000000001,Patricia Riggen,mining|chile|based on true story|survival|woman director,120,5.8,-97277.0
Suffragette,2015,0.898295999999999,Sarah Gavron,london|biography|feminist|period drama|woman director,106,7.1,2002420.0
45 Years,2015,0.8944770000000001,Andrew Haigh,secret|marriage,95,6.0,25197618.699245356
We Are Your Friends,2015,0.880937999999999,Max Joseph,dj,96,6.2,5122090.0
Barely Lethal,2015,0.880268,Kyle Newman,assassin|high school,96,5.5,-14619626.09414688
Macbeth,2015,0.874641,Justin Kurzel,scotland|shakespeare|medieval,113,6.4,-1433244.0941468794
Extraction,2015,0.872149,Steven C. Miller,terrorist|kidnapping|ex cia agent|rescue operation,83,4.2,-14608926.09414688
Jenny's Wedding,2015,0.8611790000000001,Mary Agnes Donoghue,woman director,94,5.2,25197618.699245356
Descendants,2015,0.848748,Kenny Ortega,fairy tale|villain|musical|teen movie|teenager,112,6.7,25197618.699245356
Tumbledown,2015,0.843174,Sean Mewshaw,widow|biography|writer|folk singer,105,6.6,25197618.699245356
Far from the Madding Crowd,2015,0.842202,Thomas Vinterberg,sheep|rural setting|housekeeper,119,6.9,15604275.90585312
The End of the Tour,2015,0.8369409999999989,James Ponsoldt,,106,7.3,-11622817.09414688
The Second Best Exotic Marigold Hotel,2015,0.8324870000000001,John Madden,old people's home,122,6.4,75978266.0
Little Boy,2015,0.829111,Alejandro Monteverde,,106,7.1,-13579681.0
LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,2015,0.821443,Brandon Vietti,dc comics|based on comic book|super powers|lego,48,6.4,25197618.699245356
Remember,2015,0.820691,Atom Egoyan,,94,7.7,-12639086.09414688
Aloha,2015,0.814206,Cameron Crowe,hawaii|military,105,5.2,-10749980.0
Accidental Love,2015,0.813893,David O. Russell|Stephen Greene,one-night stand|romantic comedy|accidental love,100,3.6,13823319.793392234
Halo: The Fall of Reach,2015,0.810667,Ian Kirby,video game|based on novel|space war|animation|halo,67,5.3,25197618.699245356
Our Brand Is Crisis,2015,0.795762,David Gordon Green,political campaign|south america,108,5.7,-20997739.0
Into the Forest,2015,0.792471,Patricia Rozema,female nudity|rape|fire|dancer|based on novel,101,5.1,25197618.699245356
The Invitation,2015,0.7879689999999989,Karyn Kusama,psychological thriller|psycho thriller|woman director|reunited friends|dinner party,100,6.4,-14393964.09414688
The Benefactor,2015,0.781809,Andrew Renzi,,90,4.5,25197618.699245356
Open Season: Scared Silly,2015,0.7739090000000001,David Feiss,bear|open season|elliot|boog,85,5.6,25197618.699245356
Cop Car,2015,0.77107,Jon Watts,sheriff|colorado|murder|suspense|shootout,86,5.5,-14491149.09414688
Mojave,2015,0.768138,William Monahan,,93,4.3,25197618.699245356
Sleeping with Other People,2015,0.758133,Leslye Headland,sex|cheating|love|male female relationship|woman director,100,6.2,-11411585.09414688
Forsaken,2015,0.747541,Jon Cassar,,90,5.6,28823319.793392234
Amy,2015,0.738404,Asif Kapadia,jazz|drug addiction|overdose|biography|addiction,128,7.5,-6212557.094146879
Madame Bovary,2015,0.7299,Sophie Barthes,period piece|social status|extramarital affair|woman director,118,5.3,25197618.699245356
The Hallow,2015,0.719407,Corin Hardy,baby|fairy tale|tree|transformation|mill,97,4.9,25197618.699245356
Barbie in Princess Power,2015,0.7141310000000001,Zeke Norton,barbie|princess|super powers,74,5.5,25197618.699245356
Howl,2015,0.7073550000000001,Paul Hyett,england|fire|conductor|chase|transformation,89,4.9,25197618.699245356
Freeheld,2015,0.706023,Peter Sollett,new jersey|equality|lesbian couple|cancer,103,7.1,-6426665.0
Man Up,2015,0.7013699999999989,Ben Palmer,bowling|blind date|party|mistaken identity|wedding anniversary,88,6.5,25197618.699245356
Love,2015,0.699932,Gaspar NoÃ©,paris|sex|sexuality|cocaine|nudity,134,4.7,-2304731.0
Truth,2015,0.69957,James Vanderbilt,document|biography|one word title|tv reporter|directorial debut,121,6.4,-7058446.0
Return to Sender,2015,0.696184,Fouad Mikati,date|prison|nurse|rape|flirting,95,5.0,25197618.699245356
Danny Collins,2015,0.690479,Dan Fogelman,rock star|middle age,107,6.6,835752.0
Rock the Kasbah,2015,0.6895789999999989,Barry Levinson,jealousy|ex-boyfriend|afghanistan|record producer|last chance,100,5.1,-11979336.0
Fathers and Daughters,2015,0.689571,Gabriele Muccino,widow|mental breakdown|family,116,7.0,37583319.79339223
"Hello, My Name Is Doris",2015,0.6737920000000001,Michael Showalter,dating|middle age,95,6.6,13444999.0
The Vatican Tapes,2015,0.669351,Mark Neveldine,exorcism|anti-christ|exorcists,91,4.5,-11215237.0
99 Homes,2015,0.661471,Ramin Bahrani,florida|motel|finances|single father|mother son relationship,112,6.8,-6588073.0
Hot Tub Time Machine 2,2015,0.6611630000000001,Steve Pink,time travel|sequel|hot tub|duringcreditsstinger,93,5.0,-1685349.0
Knight of Cups,2015,0.654335,Terrence Malick,celebrity|money|temptation|wealthy man|excess,118,5.7,25197618.699245356
Manglehorn,2015,0.654046,David Gordon Green,,97,5.0,-3856899.0
Mississippi Grind,2015,0.649628,Ryan Fleck|Anna Boden,poker|gambling|casino|new orleans|roulette,108,5.7,25197618.699245356
400 Days,2015,0.644786,Matt Osterman,spacecraft|experiment|simulation|space|astronaut,91,4.2,25197618.699245356
Lava,2015,0.640151,James Ford Murphy,pixar animated short|animation|pixar|short,7,7.3,25197618.699245356
Air,2015,0.638556999999999,Christian Cantamessa,,94,4.7,25197618.699245356
Riot,2015,0.633608,John Lyde,,88,5.0,25197618.699245356
Septembers of Shiraz,2015,0.629560999999999,Wayne Blair,,110,5.9,25197618.699245356
Every Thing Will Be Fine,2015,0.607124,Wim Wenders,,118,5.1,-14617667.09414688
Extinction,2015,0.606113,Miguel Ãngel Vivas,mutant|thriller|zombies|zombie apocalypse,110,5.3,25197618.699245356
The Childhood of a Leader,2015,0.604928,Brady Corbet,,116,3.6,25197618.699245356
A Walk in the Woods,2015,0.602165,Ken Kwapis,hiking|backpacker|friends|appalachian trail,104,5.4,27991087.0
Clown,2015,0.599751,Jon Watts,clown|boy|murder|blood|child murder,100,5.2,25197618.699245356
The Lazarus Effect,2015,0.599655,David Gelb,terror|experiment|afterlife|paranormal|violence,83,4.9,60810728.0
Batman vs. Robin,2015,0.589472,Jay Oliva,gotham city|robin|super powers|dollmaker|court of owls,72,6.8,25197618.699245356
Careful What You Wish For,2015,0.586735,Elizabeth Allen Rosenbaum,woman director,91,5.4,31823319.793392234
Racing Extinction,2015,0.584363,Louie Psihoyos,animal species|earth|scientist|globe|activist,90,7.8,25197618.699245356
Unfinished Business,2015,0.577814,Ken Scott,europe|business trip,90,4.9,-20568747.0
Lost River,2015,0.570743999999999,Ryan Gosling,underworld|lost city,95,5.7,-1954569.0
Cobain: Montage of Heck,2015,0.569443,Brett Morgen,,132,7.5,25197618.699245356
Hyena Road,2015,0.561032,Paul Gross,,120,5.7,25197618.699245356
Criminal Activities,2015,0.560743999999999,Jackie Earle Haley,mobster|money problems|borrow|trouble|classmates,94,5.9,32823319.793392234
Life,2015,0.560423,Anton Corbijn,james dean|magazine|biography|celebrity|buddy,112,5.9,27823319.793392234
"McFarland, USA",2015,0.553238,Niki Caro,california|small town|coach|championship|woman director,128,7.4,31084357.905853122
Backtrack,2015,0.5485869999999989,Michael Petroni,,90,5.4,25197618.699245356
X+Y,2015,0.5478270000000001,Morgan Matthews,child prodigy|mathematics|death of father|coming of age|teenager,111,6.0,25197618.699245356
Home Sweet Hell,2015,0.546458,Anthony Burns,wife|murder|black comedy|suburbia|drug,98,4.9,36823319.79339223
Ooops! Noah is Gone...,2015,0.542568,Toby Genkel|Sean McCormack,adventure|animal|noah's ark,85,5.7,33823319.79339223
The Unspoken,2015,0.5327,Sheldon Wilson,,90,4.1,25197618.699245356
Hot Girls Wanted,2015,0.532239,Jill Bauer|Ronna Gradus,porno star|craigslist|woman director|sex trade|porno filmmaking,84,5.9,25197618.699245356
The Gallows,2015,0.532205,Travis Cluff|Chris Lofing,gallows|high school|tragedy|hanging|found footage,87,5.0,42564410.0
Dirty Weekend,2015,0.52985,Neil LaBute,sex|hotel|airport|infidelity|homosexuality,93,4.8,25197618.699245356
I Spit on Your Grave III: Vengeance is Mine,2015,0.527957,R.D. Braunstein,male nudity|rape|detective|nudity|group therapy,91,5.0,25197618.699245356
Experimenter,2015,0.526642,Michael Almereyda,experiment|biography|controversy,97,6.9,25197618.699245356
By the Sea,2015,0.524315,Angelina Jolie,france|hotel|1970s|grief|travel,122,5.4,-6665073.0
Woodlawn,2015,0.52025,Andrew Erwin|Jon Erwin,sport|racism,123,6.8,25197618.699245356
